name,price,datetime
Black Chaingun Recipe,14000,2025-02-28T01:10:03
Pierce Blaster Recipe,7000,2025-02-28T00:14:46
Titanium Lockbox,3222,2025-02-27T23:35:03
QQQ Slime Lockbox,14999,2025-02-27T23:18:06
QQQ Slime Lockbox,14999,2025-02-27T23:18:06
Mirrored Lockbox,1000000,2025-02-27T23:16:44
Tundrus,15700,2025-02-27T22:51:43
QQQ Slime Lockbox,22999,2025-02-27T22:41:27
Zee Core x10,17999,2025-02-27T22:39:46
Shadow Orb x5,11111,2025-02-27T22:38:23
Power Orb x5,12222,2025-02-27T22:38:06
Power Orb x5,12222,2025-02-27T22:38:06
Shadow Orb x5,11111,2025-02-27T22:38:06
Gremlonium,18888,2025-02-27T22:36:43
Divine Orb x5,12222,2025-02-27T22:36:26
Divine Node Slime Guards,10000,2025-02-27T22:36:26
Toasty Node Slime Guards,10000,2025-02-27T22:36:26
Toasty Stranger Robe,49999,2025-02-27T22:35:03
Holly Striped Onesie,29999,2025-02-27T22:34:46
Joyous Striped Onesie,39999,2025-02-27T22:34:46
Tacky Winter Pullover,48888,2025-02-27T22:34:46
Dazed Splash Sarong,159999,2025-02-27T22:33:06
Celestial Mech'tennas,29999,2025-02-27T22:31:26
Flourish,10000,2025-02-27T22:29:47
Flourish,20000,2025-02-27T22:28:12
Iceburst Brandish,15000,2025-02-27T22:28:06
Flourish,120000,2025-02-27T22:28:06
Golden Slime Coin x43,20000,2025-02-27T21:44:53
Divine Star,1599,2025-02-27T20:26:26
Divine Star,1600,2025-02-27T20:26:26
Nightblade,35500,2025-02-27T19:28:05
Mod Calibrator,22999,2025-02-27T19:28:05
Silver Lockbox,19000,2025-02-27T19:26:26
Flourish,2555,2025-02-27T18:44:45
